age,job,marital,education,campaign,month,day_of_week,poutcome,y
23,blue-collar,single,high.school,email,jul,mon,nonexistent,0
20,entrepreneur,single,high.school,adwords,may,thu,nonexistent,0
43,admin.,divorced,high.school,email,jul,mon,nonexistent,0
26,services,single,high.school,email,may,mon,failure,0
58,unemployed,single,basic.4y,adwords,jun,mon,nonexistent,0
26,admin.,single,university.degree,email,may,tue,nonexistent,0
35,admin.,married,high.school,adwords,may,fri,nonexistent,0
35,admin.,married,high.school,email,jul,mon,nonexistent,0
59,admin.,divorced,professional.course,email,aug,tue,failure,1
54,blue-collar,married,basic.4y,adwords,may,mon,nonexistent,0
37,blue-collar,divorced,basic.9y,email,jul,thu,nonexistent,0
46,technician,divorced,professional.course,adwords,jun,wed,nonexistent,0
52,services,married,high.school,email,jul,mon,nonexistent,0
52,management,married,university.degree,email,nov,tue,nonexistent,0
32,student,single,university.degree,email,may,fri,nonexistent,0
33,services,married,basic.4y,adwords,may,tue,nonexistent,0
33,technician,divorced,high.school,email,may,tue,nonexistent,0
42,technician,single,unknown,adwords,may,mon,nonexistent,0
38,blue-collar,divorced,unknown,adwords,may,thu,nonexistent,0
43,blue-collar,married,high.school,adwords,may,tue,nonexistent,0
49,admin.,divorced,university.degree,adwords,may,fri,nonexistent,0
30,blue-collar,married,basic.9y,adwords,may,wed,nonexistent,0
37,technician,married,professional.course,email,apr,fri,nonexistent,0
47,blue-collar,married,professional.course,email,jul,mon,nonexistent,0
32,blue-collar,married,basic.4y,adwords,nov,thu,nonexistent,0
32,unemployed,married,university.degree,email,jul,fri,nonexistent,0
35,services,divorced,university.degree,email,may,mon,nonexistent,0
36,management,divorced,university.degree,email,may,fri,nonexistent,0
41,blue-collar,married,basic.9y,email,may,wed,nonexistent,0
48,blue-collar,married,basic.9y,adwords,aug,fri,nonexistent,0
43,technician,married,high.school,email,jul,wed,nonexistent,0
57,technician,married,university.degree,adwords,may,fri,nonexistent,0
28,entrepreneur,married,university.degree,email,apr,mon,nonexistent,0
30,services,single,high.school,adwords,jul,thu,nonexistent,0
27,student,single,high.school,email,may,mon,failure,0
44,blue-collar,married,basic.6y,adwords,may,tue,nonexistent,0
43,services,married,basic.9y,adwords,jun,thu,nonexistent,0
28,technician,married,basic.9y,email,may,wed,failure,0
34,blue-collar,married,basic.9y,email,may,tue,nonexistent,0
32,services,married,high.school,adwords,jul,thu,nonexistent,0
30,admin.,single,university.degree,email,aug,fri,nonexistent,0
45,admin.,divorced,university.degree,email,jul,fri,nonexistent,0
49,blue-collar,married,basic.4y,adwords,may,wed,nonexistent,0
45,blue-collar,married,high.school,adwords,may,thu,nonexistent,0
56,technician,married,basic.9y,adwords,may,wed,nonexistent,0
48,admin.,single,university.degree,email,aug,wed,success,1
42,unemployed,married,high.school,email,nov,tue,nonexistent,0
51,management,married,university.degree,adwords,jun,mon,nonexistent,0
54,blue-collar,married,basic.9y,email,jun,fri,nonexistent,1
40,admin.,married,university.degree,email,aug,wed,nonexistent,0
47,blue-collar,single,basic.9y,adwords,may,thu,nonexistent,0
29,technician,single,university.degree,email,aug,wed,nonexistent,0
37,admin.,married,university.degree,email,jun,mon,nonexistent,1
35,technician,married,basic.9y,adwords,may,wed,nonexistent,0
54,technician,married,professional.course,email,nov,tue,nonexistent,0
45,unknown,married,university.degree,email,may,thu,failure,0
35,admin.,single,university.degree,email,jul,fri,nonexistent,0
37,blue-collar,married,professional.course,email,may,mon,failure,0
38,management,married,basic.9y,adwords,may,tue,nonexistent,1
33,blue-collar,married,basic.9y,adwords,may,mon,nonexistent,0
31,blue-collar,divorced,basic.9y,adwords,jun,thu,nonexistent,0
34,admin.,married,university.degree,adwords,may,thu,nonexistent,0
51,blue-collar,divorced,high.school,email,may,tue,nonexistent,0
38,blue-collar,married,high.school,email,may,wed,failure,0
25,admin.,single,basic.9y,email,jul,thu,nonexistent,0
35,technician,single,professional.course,email,aug,wed,nonexistent,0
55,self-employed,married,university.degree,email,may,mon,nonexistent,0
37,admin.,married,high.school,adwords,may,mon,nonexistent,0
31,technician,married,high.school,email,aug,thu,nonexistent,0
36,services,married,high.school,adwords,may,thu,nonexistent,0
59,retired,married,basic.4y,adwords,may,wed,nonexistent,0
37,blue-collar,married,basic.6y,adwords,oct,fri,nonexistent,0
74,retired,divorced,high.school,adwords,dec,mon,nonexistent,0
44,technician,divorced,basic.9y,adwords,may,tue,nonexistent,0
29,technician,single,professional.course,email,aug,mon,nonexistent,0
32,services,married,basic.4y,email,nov,mon,nonexistent,0
45,services,divorced,basic.9y,email,apr,mon,nonexistent,0
49,blue-collar,married,unknown,adwords,jun,wed,nonexistent,0
25,services,single,unknown,adwords,jul,fri,nonexistent,0
34,blue-collar,divorced,basic.4y,email,jul,mon,nonexistent,0
37,technician,single,professional.course,email,aug,thu,nonexistent,0
48,technician,single,university.degree,email,aug,tue,nonexistent,0
52,services,married,high.school,adwords,aug,mon,nonexistent,0
30,technician,single,professional.course,email,aug,tue,nonexistent,0
57,retired,married,basic.9y,email,aug,mon,nonexistent,0
38,blue-collar,married,basic.4y,email,nov,mon,nonexistent,0
31,blue-collar,single,high.school,email,nov,wed,nonexistent,0
40,technician,married,basic.9y,adwords,jun,tue,nonexistent,0
38,services,married,high.school,adwords,may,mon,nonexistent,0
33,management,single,university.degree,adwords,may,fri,nonexistent,0
28,admin.,single,university.degree,email,sep,mon,success,0
33,technician,married,professional.course,email,aug,mon,nonexistent,0
58,retired,married,basic.4y,email,jul,tue,nonexistent,0
30,self-employed,married,professional.course,email,may,tue,nonexistent,0
42,self-employed,married,professional.course,email,may,fri,failure,0
35,technician,divorced,basic.4y,email,nov,tue,nonexistent,1
41,housemaid,married,high.school,email,jul,fri,nonexistent,0
31,self-employed,single,university.degree,email,nov,fri,failure,0
40,admin.,married,high.school,adwords,may,tue,nonexistent,0
80,retired,married,basic.4y,email,oct,tue,failure,1
47,blue-collar,married,high.school,email,apr,thu,nonexistent,1
39,housemaid,married,basic.6y,email,jul,fri,nonexistent,0
30,technician,married,university.degree,email,aug,fri,nonexistent,0
33,blue-collar,married,high.school,adwords,may,wed,nonexistent,0
50,management,married,university.degree,adwords,may,fri,nonexistent,0
33,blue-collar,married,basic.9y,email,may,fri,nonexistent,1
40,technician,married,professional.course,email,jul,wed,nonexistent,0
40,retired,married,basic.4y,email,jul,fri,nonexistent,1
30,blue-collar,married,basic.9y,adwords,jun,fri,nonexistent,0
23,management,single,university.degree,email,jul,thu,nonexistent,0
28,blue-collar,married,basic.9y,email,may,fri,failure,0
41,self-employed,married,basic.9y,email,may,thu,failure,1
26,student,single,basic.9y,adwords,aug,wed,nonexistent,1
45,admin.,married,university.degree,email,aug,mon,nonexistent,0
28,admin.,single,university.degree,email,oct,mon,success,0
32,technician,married,university.degree,email,aug,fri,nonexistent,0
32,management,single,university.degree,email,aug,fri,nonexistent,0
56,entrepreneur,divorced,university.degree,adwords,jun,mon,nonexistent,0
45,admin.,divorced,basic.9y,email,nov,wed,nonexistent,0
29,technician,divorced,professional.course,adwords,jun,wed,nonexistent,0
33,technician,married,university.degree,email,may,mon,nonexistent,0
37,blue-collar,married,basic.4y,adwords,jun,fri,nonexistent,0
51,technician,married,professional.course,email,nov,wed,nonexistent,0
32,blue-collar,married,basic.6y,adwords,jun,tue,nonexistent,0
36,blue-collar,married,basic.4y,email,may,tue,failure,0
36,blue-collar,married,unknown,adwords,jun,thu,nonexistent,0
32,technician,married,professional.course,adwords,jun,thu,nonexistent,0
51,technician,married,professional.course,adwords,jun,mon,nonexistent,0
25,blue-collar,married,basic.9y,adwords,jun,tue,nonexistent,0
39,entrepreneur,married,university.degree,email,sep,tue,nonexistent,0
33,blue-collar,married,basic.9y,email,may,thu,nonexistent,0
32,technician,single,professional.course,email,jul,thu,nonexistent,0
35,blue-collar,married,basic.9y,adwords,may,wed,nonexistent,0
41,technician,divorced,professional.course,adwords,oct,mon,nonexistent,0
44,admin.,married,university.degree,adwords,may,wed,nonexistent,0
34,management,married,university.degree,email,apr,mon,nonexistent,1
27,services,single,high.school,adwords,may,wed,nonexistent,0
51,blue-collar,married,basic.4y,adwords,jul,wed,nonexistent,0
42,admin.,married,university.degree,adwords,may,tue,nonexistent,0
61,blue-collar,married,high.school,email,oct,wed,nonexistent,0
48,unemployed,married,professional.course,email,sep,mon,nonexistent,1
54,entrepreneur,married,university.degree,email,nov,wed,success,0
35,admin.,single,high.school,adwords,may,mon,nonexistent,0
48,blue-collar,married,basic.9y,email,aug,mon,nonexistent,0
23,technician,single,professional.course,adwords,jul,thu,nonexistent,0
33,blue-collar,married,basic.6y,adwords,may,wed,nonexistent,1
30,admin.,married,university.degree,email,aug,mon,nonexistent,0
25,blue-collar,single,high.school,email,may,thu,nonexistent,0
44,technician,single,professional.course,adwords,may,mon,nonexistent,0
29,technician,single,university.degree,adwords,jul,wed,nonexistent,0
55,retired,married,high.school,email,aug,tue,nonexistent,0
24,blue-collar,single,basic.9y,adwords,jul,fri,nonexistent,0
61,admin.,married,university.degree,email,apr,wed,nonexistent,0
50,technician,married,basic.6y,email,may,tue,failure,0
37,self-employed,single,university.degree,email,apr,thu,failure,0
33,housemaid,married,professional.course,email,aug,thu,nonexistent,0
48,unemployed,married,university.degree,email,mar,mon,nonexistent,0
57,retired,married,basic.9y,email,aug,fri,nonexistent,0
33,management,divorced,university.degree,email,jun,wed,nonexistent,0
40,housemaid,divorced,high.school,adwords,jun,wed,nonexistent,1
30,self-employed,single,university.degree,email,aug,tue,nonexistent,0
34,self-employed,married,university.degree,email,oct,wed,failure,1
54,management,divorced,university.degree,adwords,may,mon,nonexistent,0
31,admin.,married,university.degree,email,apr,fri,nonexistent,0
31,technician,single,professional.course,email,aug,tue,nonexistent,1
53,unemployed,married,basic.9y,email,may,tue,nonexistent,0
43,admin.,single,university.degree,email,apr,mon,success,1
36,blue-collar,married,basic.9y,email,may,tue,nonexistent,0
47,admin.,divorced,university.degree,email,aug,thu,nonexistent,0
30,technician,married,university.degree,email,jul,mon,nonexistent,1
31,self-employed,married,university.degree,email,nov,mon,failure,0
37,services,single,basic.9y,email,may,tue,nonexistent,0
27,blue-collar,single,basic.6y,email,jul,tue,nonexistent,1
46,admin.,married,high.school,adwords,jun,fri,nonexistent,0
41,technician,married,basic.9y,email,may,wed,failure,0
44,blue-collar,married,basic.9y,adwords,jun,fri,nonexistent,0
33,admin.,married,university.degree,email,may,thu,nonexistent,0
58,blue-collar,divorced,basic.4y,email,aug,fri,nonexistent,1
34,self-employed,married,university.degree,email,nov,wed,nonexistent,0
60,admin.,single,high.school,adwords,may,tue,nonexistent,0
29,blue-collar,married,basic.4y,email,nov,wed,nonexistent,0
26,admin.,single,high.school,adwords,jun,thu,nonexistent,0
31,services,single,high.school,adwords,may,wed,nonexistent,0
36,services,married,university.degree,email,nov,wed,nonexistent,0
59,blue-collar,married,basic.4y,email,jul,fri,nonexistent,0
61,retired,married,university.degree,email,apr,tue,nonexistent,1
30,technician,married,high.school,email,aug,tue,nonexistent,0
40,retired,married,professional.course,adwords,may,tue,nonexistent,0
48,technician,married,high.school,adwords,may,fri,nonexistent,0
47,services,single,high.school,email,jul,tue,nonexistent,0
32,technician,married,university.degree,email,aug,thu,nonexistent,0
31,admin.,married,professional.course,email,aug,fri,nonexistent,0
33,blue-collar,married,basic.9y,email,may,tue,nonexistent,0
30,services,single,high.school,email,may,tue,nonexistent,0
49,management,married,university.degree,email,apr,thu,nonexistent,0
53,self-employed,married,university.degree,email,nov,fri,nonexistent,0
33,admin.,married,high.school,email,may,fri,nonexistent,0
46,services,married,high.school,email,may,fri,failure,0
45,admin.,married,high.school,adwords,may,thu,nonexistent,1
31,technician,single,professional.course,adwords,may,mon,nonexistent,0
28,blue-collar,single,basic.9y,email,may,wed,nonexistent,0
29,admin.,single,university.degree,email,nov,thu,nonexistent,1
26,blue-collar,single,basic.9y,email,jul,tue,nonexistent,0
20,student,single,unknown,email,apr,wed,nonexistent,1
42,services,married,high.school,email,may,wed,failure,0
31,blue-collar,married,basic.9y,email,nov,thu,nonexistent,0
56,entrepreneur,married,university.degree,email,jul,tue,nonexistent,0
43,housemaid,divorced,professional.course,email,aug,thu,nonexistent,0
44,management,married,high.school,email,jul,mon,nonexistent,0
30,admin.,married,high.school,email,jul,fri,nonexistent,0
31,admin.,single,university.degree,email,sep,fri,nonexistent,0
53,entrepreneur,divorced,university.degree,email,nov,mon,failure,0
50,retired,married,basic.4y,adwords,may,thu,nonexistent,0
37,unemployed,married,university.degree,email,may,fri,nonexistent,0
43,blue-collar,married,unknown,adwords,may,fri,nonexistent,0
45,admin.,married,basic.9y,adwords,jun,fri,nonexistent,1
29,admin.,divorced,university.degree,email,jun,wed,nonexistent,1
53,services,married,high.school,adwords,may,wed,nonexistent,0
34,technician,married,university.degree,email,apr,thu,nonexistent,0
72,retired,married,high.school,email,nov,mon,nonexistent,1
25,admin.,single,university.degree,email,apr,thu,nonexistent,1
46,admin.,married,high.school,adwords,jun,fri,nonexistent,0
39,admin.,single,high.school,email,jul,thu,nonexistent,0
57,management,married,university.degree,email,nov,fri,failure,0
24,admin.,single,professional.course,adwords,jun,mon,nonexistent,0
40,blue-collar,married,basic.6y,adwords,jun,tue,nonexistent,0
45,services,married,high.school,adwords,may,wed,nonexistent,0
33,entrepreneur,married,university.degree,adwords,may,mon,nonexistent,0
34,blue-collar,married,basic.9y,adwords,jun,mon,nonexistent,0
24,admin.,single,high.school,email,jul,mon,success,1
55,entrepreneur,divorced,basic.9y,email,dec,fri,nonexistent,1
54,blue-collar,married,basic.6y,adwords,jul,tue,nonexistent,0
32,technician,single,university.degree,email,aug,fri,nonexistent,0
27,student,single,high.school,email,mar,fri,nonexistent,1
45,management,married,university.degree,email,may,thu,nonexistent,0
47,services,divorced,basic.9y,email,jul,mon,nonexistent,0
29,services,married,high.school,adwords,may,tue,nonexistent,0
42,admin.,single,university.degree,email,jul,fri,nonexistent,0
28,student,single,high.school,email,apr,thu,nonexistent,0
27,self-employed,single,university.degree,email,may,thu,nonexistent,0
45,admin.,divorced,university.degree,email,may,mon,nonexistent,0
45,entrepreneur,married,basic.4y,email,nov,tue,nonexistent,0
33,management,single,university.degree,adwords,may,tue,nonexistent,0
36,technician,married,professional.course,email,jul,tue,nonexistent,0
34,technician,single,high.school,adwords,jul,fri,nonexistent,0
30,technician,single,university.degree,email,aug,fri,nonexistent,0
33,blue-collar,married,basic.4y,email,jul,wed,nonexistent,0
